employee_id,directorate,role,grade,tgv_name,tv_name,baseline_score,user_score,tv_match_rate,tgv_match_rate,final_match_rate
DUP2722,HR & Corp Affairs,Sales Supervisor,IV,Cognitive Ability,iq,109.000,124.000,113.76,113.76,49.03
DUP2722,HR & Corp Affairs,Sales Supervisor,IV,Leadership,tiki,6.000,2.000,33.33,33.33,49.03
DUP2722,HR & Corp Affairs,Sales Supervisor,IV,Personality,disc_word,null,null,0.00,0.00,49.03
DUP3452,Technology,Finance Officer,V,Cognitive Ability,iq,109.000,90.000,82.57,82.57,66.41
DUP3452,Technology,Finance Officer,V,Leadership,tiki,6.000,7.000,116.67,116.67,66.41
DUP3452,Technology,Finance Officer,V,Personality,disc_word,null,null,0.00,0.00,66.41
DUP4177,HR & Corp Affairs,Supply Planner,V,Cognitive Ability,iq,109.000,null,0.00,0.00,44.44
DUP4177,HR & Corp Affairs,Supply Planner,V,Leadership,tiki,6.000,8.000,133.33,133.33,44.44
DUP4177,HR & Corp Affairs,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,44.44
DUP5237,Technology,HRBP,IV,Cognitive Ability,iq,109.000,121.000,111.01,111.01,92.56
DUP5237,Technology,HRBP,IV,Leadership,tiki,6.000,10.000,166.67,166.67,92.56
DUP5237,Technology,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,92.56
DUP9015,Commercial,Sales Supervisor,IV,Cognitive Ability,iq,109.000,134.000,122.94,122.94,85.42
DUP9015,Commercial,Sales Supervisor,IV,Leadership,tiki,6.000,8.000,133.33,133.33,85.42
DUP9015,Commercial,Sales Supervisor,IV,Personality,disc_word,null,null,0.00,0.00,85.42
DUP9129,HR & Corp Affairs,Supply Planner,V,Cognitive Ability,iq,109.000,93.000,85.32,85.32,39.55
DUP9129,HR & Corp Affairs,Supply Planner,V,Leadership,tiki,6.000,2.000,33.33,33.33,39.55
DUP9129,HR & Corp Affairs,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,39.55
EMP100000,Technology,Brand Executive,IV,Cognitive Ability,iq,109.000,94.000,86.24,86.24,39.86
EMP100000,Technology,Brand Executive,IV,Leadership,tiki,6.000,2.000,33.33,33.33,39.86
EMP100000,Technology,Brand Executive,IV,Personality,disc_word,null,null,0.00,0.00,39.86
EMP100001,Technology,HRBP,III,Cognitive Ability,iq,109.000,94.000,86.24,86.24,45.41
EMP100001,Technology,HRBP,III,Leadership,tiki,6.000,3.000,50.00,50.00,45.41
EMP100001,Technology,HRBP,III,Personality,disc_word,null,null,0.00,0.00,45.41
EMP100002,Technology,Sales Supervisor,III,Cognitive Ability,iq,109.000,109.000,100.00,100.00,50.00
EMP100002,Technology,Sales Supervisor,III,Leadership,tiki,6.000,3.000,50.00,50.00,50.00
EMP100002,Technology,Sales Supervisor,III,Personality,disc_word,null,null,0.00,0.00,50.00
EMP100003,Commercial,HRBP,IV,Cognitive Ability,iq,109.000,85.000,77.98,77.98,42.66
EMP100003,Commercial,HRBP,IV,Leadership,tiki,6.000,3.000,50.00,50.00,42.66
EMP100003,Commercial,HRBP,IV,Personality,disc_word,null,null,0.00,0.00,42.66
EMP100004,Technology,Supply Planner,III,Cognitive Ability,iq,109.000,134.000,122.94,122.94,90.98
EMP100004,Technology,Supply Planner,III,Leadership,tiki,6.000,9.000,150.00,150.00,90.98
EMP100004,Technology,Supply Planner,III,Personality,disc_word,null,null,0.00,0.00,90.98
EMP100005,Commercial,Sales Supervisor,III,Cognitive Ability,iq,109.000,130.000,119.27,119.27,78.64
EMP100005,Commercial,Sales Supervisor,III,Leadership,tiki,6.000,7.000,116.67,116.67,78.64
EMP100005,Commercial,Sales Supervisor,III,Personality,disc_word,null,null,0.00,0.00,78.64
EMP100006,HR & Corp Affairs,Finance Officer,III,Cognitive Ability,iq,109.000,139.000,127.52,127.52,75.84
EMP100006,HR & Corp Affairs,Finance Officer,III,Leadership,tiki,6.000,6.000,100.00,100.00,75.84
EMP100006,HR & Corp Affairs,Finance Officer,III,Personality,disc_word,null,null,0.00,0.00,75.84
EMP100007,HR & Corp Affairs,HRBP,V,Cognitive Ability,iq,109.000,99.000,90.83,90.83,52.50
EMP100007,HR & Corp Affairs,HRBP,V,Leadership,tiki,6.000,4.000,66.67,66.67,52.50
EMP100007,HR & Corp Affairs,HRBP,V,Personality,disc_word,null,null,0.00,0.00,52.50
EMP100009,Commercial,Sales Supervisor,V,Cognitive Ability,iq,109.000,82.000,75.23,75.23,47.30
EMP100009,Commercial,Sales Supervisor,V,Leadership,tiki,6.000,4.000,66.67,66.67,47.30
EMP100009,Commercial,Sales Supervisor,V,Personality,disc_word,null,null,0.00,0.00,47.30
EMP100013,HR & Corp Affairs,Supply Planner,V,Cognitive Ability,iq,109.000,124.000,113.76,113.76,87.92
EMP100013,HR & Corp Affairs,Supply Planner,V,Leadership,tiki,6.000,9.000,150.00,150.00,87.92
EMP100013,HR & Corp Affairs,Supply Planner,V,Personality,disc_word,null,null,0.00,0.00,87.92
EMP100014,Commercial,Supply Planner,IV,Cognitive Ability,iq,109.000,92.000,84.40,84.40,67.02
EMP100014,Commercial,Supply Planner,IV,Leadership,tiki,6.000,7.000,116.67,116.67,67.02
EMP100014,Commercial,Supply Planner,IV,Personality,disc_word,null,null,0.00,0.00,67.02
